ArtDerFestlegung_schluessel,ArtDerFestlegung_bezeichnung,AAA-Beschreibung,alias,StelleZustaendigeDienststelle,Name
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30447,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30450,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30451,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30453,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30457,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30462,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30465,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30467,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30468,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30475,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30481,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30484,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30485,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30492,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30504,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30510,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30511,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30518,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30537,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30543,,
1100,Klassifizierung nach Bundes- oder Landesstraßengesetz,AX_KlassifizierungNachStrassenrecht,F8__30544,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30549,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30550,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30560,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30563,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30567,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30569,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30581,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30583,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30590,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30592,,
1150,Gemeindestraße,AX_KlassifizierungNachStrassenrecht,F8__30597,,
