Beschaffenheit_schluessel,Beschaffenheit_bezeichnung,AAA-Beschreibung,alias
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13685
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13698
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13699
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13700
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13702
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13703
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13707
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13721
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13724
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13726
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13729
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13739
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13751
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13767
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13771
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13773
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13778
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13779
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13783
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13787
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13790
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13791
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13793
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13804
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13825
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13836
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13848
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13855
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13859
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13860
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13875
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13881
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13910
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13969
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13972
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13979
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13988
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13991
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13993
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__13998
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14005
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14023
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14025
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14031
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14039
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14040
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14050
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14054
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14059
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14068
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14071
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14083
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14106
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14114
4000,Trennlinie nicht eindeutig festgelegt,AX_BesondereGebaeudelinie,F12__14115
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14117
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14118
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14122
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14129
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14148
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14162
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14164
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14165
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14166
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14172
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14179
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14195
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14196
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14211
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14222
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14228
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14255
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14260
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14270
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14285
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14303
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14324
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14344
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14346
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14364
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14372
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14376
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14378
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14382
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14387
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14391
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14403
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14410
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14414
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14427
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14433
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14438
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14461
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14463
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14471
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14480
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14492
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14500
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14504
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14507
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14510
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14519
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14520
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14544
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14545
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14548
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14549
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14550
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14564
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14567
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14568
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14569
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14596
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14598
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14600
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14605
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14617
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14619
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14620
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14627
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14636
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14637
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14641
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14643
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14646
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14649
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14655
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14659
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14661
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14673
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14683
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14708
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14709
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14710
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14713
1000,Offene Gebäudelinie,AX_BesondereGebaeudelinie,F12__14715
