AAA-Beschreibung,AmtlicheFlaeche,Flurstuecks_kennzOhneFolge,Gemarkung_name,Gemeindekennzeichen,ZeitpunktDerEntstehung,alias
AX_Flurstueck,770,110007005037600168,Charlottenburg,11000004,18980101,F10__12402
AX_Flurstueck,3549,11000701000342____,Charlottenburg,11000004,19880101,F10__12440
AX_Flurstueck,35,11000700400732____,Charlottenburg,11000004,19800101,F10__12465
AX_Flurstueck,466,110007005037640168,Charlottenburg,11000004,18980101,F10__12469
AX_Flurstueck,1975,110007011001280014,Charlottenburg,11000004,19600101,F10__12480
AX_Flurstueck,856,110007011023600110,Charlottenburg,11000004,19100101,F10__12493
AX_Flurstueck,770,11000701000414____,Charlottenburg,11000004,19990101,F10__12495
AX_Flurstueck,21,11000700600236____,Charlottenburg,11000004,19840101,F10__12496
AX_Flurstueck,795,110007004049720236,Charlottenburg,11000004,19070101,F10__12503
AX_Flurstueck,56,110007010014680075,Charlottenburg,11000004,19300101,F10__12511
AX_Flurstueck,747,110007006007710077,Charlottenburg,11000004,19080101,F10__12521
AX_Flurstueck,37,11000701100422____,Charlottenburg,11000004,20100101,F10__12526
AX_Flurstueck,4933,11000700500748____,Charlottenburg,11000004,20080101,F10__12529
AX_Flurstueck,564,110007005026430164,Charlottenburg,11000004,18930101,F10__12530
AX_Flurstueck,647,110007010014600075,Charlottenburg,11000004,19300101,F10__12531
AX_Flurstueck,1197,11000700600430____,Charlottenburg,11000004,20110101,F10__12538
AX_Flurstueck,5257,110007011001220005,Charlottenburg,11000004,19650101,F10__12544
AX_Flurstueck,1140,11000701100371____,Charlottenburg,11000004,19920101,F10__12554
AX_Flurstueck,132,110007006000920018,Charlottenburg,11000004,19620101,F10__12562
AX_Flurstueck,577,110007010015830075,Charlottenburg,11000004,19320101,F10__12568
AX_Flurstueck,96,11000700600388____,Charlottenburg,11000004,20050101,F10__12585
AX_Flurstueck,999,110007005044920164,Charlottenburg,11000004,19010101,F10__12610
AX_Flurstueck,204,110007004002580023,Charlottenburg,11000004,19610101,F10__12616
AX_Flurstueck,30,11000701100436____,Charlottenburg,11000004,20110101,F10__12619
AX_Flurstueck,4122,11000700600338____,Charlottenburg,11000004,20010101,F10__12622
AX_Flurstueck,5258,11000700600379____,Charlottenburg,11000004,20050101,F10__12625
AX_Flurstueck,2892,11000700500742____,Charlottenburg,11000004,20070101,F10__12629
AX_Flurstueck,9103,11000701000224____,Charlottenburg,11000004,19780101,F10__12631
AX_Flurstueck,253,110007004002350004,Charlottenburg,11000004,19540101,F10__12639
