OKSTRA_ID,ELEM_NR,STR_NAME,BEZIRK,STADTTEIL,STRKLASSE1,alias
3BEF14A5790741E0971BB0ED9EFC7FC9,41560005_41560004.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
EE09237286D94F07A3BB0F6EFF1AAF6B,41560006_41560005.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
256D78479326463F8C52352D69B00279,41560007_41560006.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
837698524697410ABC444A7284DC9EE9,41560009_41560008.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
6AAE4C452E5E4408BCDE03490EAB70F1,41570001_41560009.01,Beusselstraße,Mitte,Moabit,II,Beusselstraße
53AC333F48134564AFA5B49176CC6B0E,40540011_40540012.01,Cauerstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Cauerstraße
A4BCA9CB62B041CAB1A871C7B1EF1DDC,40540013_40550015.01,Cauerstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Cauerstraße
6768B8BB26114946BCF5862C3653EA4B,40550019_41550027.01,Dovestraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Dovestraße
CB4E21FFD4834E62BB8CF8A1AE9400AA,41540013_41550028.01,Franklinstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Franklinstraße
D304D160123A4BA6A5103B860B25C2CF,41550028_41550029.01,Franklinstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Franklinstraße
13833B187F5B4BBC81F02D43292E3CBA,42570003_43570001.01,Friedrich-Krause-Ufer,Mitte,Moabit,II,Friedrich-Krause-Ufer
1676EFBA78684A3CAC6812DC8DC7E666,40570003_40570004.01,Friedrich-Olbricht-Damm,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,IV,Friedrich-Olbricht-Damm
BE58028C77CB41188F3F79A5F12B1569,40570004_41570014.01,Friedrich-Olbricht-Damm,Charlottenburg-Wilmersdorf,Charlottenburg-Nord,IV,Friedrich-Olbricht-Damm
9D1AB05B799E4E708FC10F650522CA8F,40560008_40560007.01,Gaußstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Gaußstraße
DE4AC4CE9368402AA300D73BF0F13F33,41550012_41550011.01,Gotzkowskystraße,Mitte,Moabit,III,Gotzkowskystraße
5DA333A86EF74507AAEE0BDEF998ADBF,41550011_41550004.01,Gotzkowskystraße,Mitte,Moabit,III,Gotzkowskystraße
8B25EFC503604AC483E8138DC4E22134,41550004_41550013.01,Gotzkowskystraße,Mitte,Moabit,III,Gotzkowskystraße
805E5CC301544FEA8ED04853F146774F,41550013_41550014.01,Gotzkowskystraße,Mitte,Moabit,III,Gotzkowskystraße
B68FD446D12A42B182B16951918EFBA9,43540009_42540016.01,Großer Stern,Mitte,Tiergarten,I,Großer Stern
F278F710CEAE45EEA3703958E49A3081,42540016_42540018.01,Großer Stern,Mitte,Tiergarten,I,Großer Stern
143DF8846CDE48F595021384485E199C,42540018_43540010.01,Großer Stern,Mitte,Tiergarten,I,Großer Stern
411177F4A8C64FCA90602C41C94F6BFD,43540010_43540007.01,Großer Stern,Mitte,Tiergarten,I,Großer Stern
C2E73C043EF54911B79B33F30F53D3DE,41550027_41550032.01,Helmholtzstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Helmholtzstraße
B709BAF80B7741E783D9CE2F083F415A,41550032_41550033.01,Helmholtzstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Helmholtzstraße
87962A2E0A3A47ED80A98F7424ECF43E,43540010_43540011.01,Hofjägerallee,Mitte,Tiergarten,II,Hofjägerallee
A934A18887994D38BC0A021A28E94161,40560001_40560002.01,Huttenstraße,Mitte,Moabit,III,Huttenstraße
C5202089A5AA48ADBE48CF9D0E8148E5,40560002_40560003.01,Huttenstraße,Mitte,Moabit,III,Huttenstraße
80653004E0964571AD48E9BC988B61A7,40560003_41560002.01,Huttenstraße,Mitte,Moabit,III,Huttenstraße
9B0D94EAE8084B01805D1F38DA3E7059,41560002_41560011.01,Huttenstraße,Mitte,Moabit,III,Huttenstraße
21DF509E64F549CAA01E2D2B3E6CC95E,41560011_41560004.01,Huttenstraße,Mitte,Moabit,III,Huttenstraße
808EFBFDDC1A43DF8F1DCE85CF2C6FD7,40550029_40550028.01,Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,Charlottenburg,II,Kaiserin-Augusta-Allee
4DB2F506D0E94641AC766F4FB0C531FD,40550028_40550030.01,Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,Charlottenburg,II,Kaiserin-Augusta-Allee
B826767C19C647F8A121ACBE24143BDF,40550030_40550031.01,Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,Charlottenburg,II,Kaiserin-Augusta-Allee
62EE876DD4264352894B0EC2520C9283,40550032_40550020.01,Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,Charlottenburg,II,Kaiserin-Augusta-Allee
FCEF909DC22F4F1DAAC93D26405E70C3,40550031_40550032.01,Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,Charlottenburg,II,Kaiserin-Augusta-Allee
11B4EE86BAE844008F0C3F04DFBF3A7D,40550001_40550002.01,Kaiserin-Augusta-Allee,Mitte,Moabit,II,Kaiserin-Augusta-Allee
115E12DEA5F647729ABCA94826C2872D,40550002_41550018.01,Kaiserin-Augusta-Allee,Mitte,Moabit,II,Kaiserin-Augusta-Allee
62848F93AD4F402ABE0559909EC27340,41550018_41550003.01,Kaiserin-Augusta-Allee,Mitte,Moabit,II,Kaiserin-Augusta-Allee
6CCC8A9D1EDC4B3F8B0C72FB484DDAD1,42550023_43550001.01,Kirchstraße,Mitte,Moabit,IV,Kirchstraße
20E8B6C1080C456E8E9BD7E2534D2B3C,42540019_42540011.01,Klopstockstraße,Mitte,Hansaviertel,IV,Klopstockstraße
64B886496C544C709063FD43C1310702,42540011_42540008.01,Klopstockstraße,Mitte,Hansaviertel,IV,Klopstockstraße
E126A78D9E664D21BE1B4790D68FE488,42540008_42540009.02,Klopstockstraße,Mitte,Hansaviertel,IV,Klopstockstraße
1AE999157CD0444F8A5743D1377D9073,42540009_42540002.01,Klopstockstraße,Mitte,Hansaviertel,IV,Klopstockstraße
8EFFBB8506B54CDF9E9485E0E1982E5D,40540010_40540011.01,Leibnizstraße,Charlottenburg-Wilmersdorf,Charlottenburg,III,Leibnizstraße
4C6FFDB2387C4B3BB9632B5BF2209DAE,42550037_42550045.01,Lessingstraße,Mitte,Hansaviertel,II,Lessingstraße
E1A699F032564767B4EF401FF7E9FD90,42550045_42550046.01,Lessingstraße,Mitte,Hansaviertel,II,Lessingstraße
CC8216FF53E7422AA993DEECB65BC79E,41550011_41550019.01,Levetzowstraße,Mitte,Moabit,II,Levetzowstraße
17338ABE9AF644038684C65320007036,41550019_41550020.01,Levetzowstraße,Mitte,Moabit,II,Levetzowstraße
ACB494D347524278A42D59A2B1A75C46,41550020_41550017.01,Levetzowstraße,Mitte,Moabit,II,Levetzowstraße
CEB6D74D7225456FACD7FAB90E19FBDF,41550017_42550019.01,Levetzowstraße,Mitte,Moabit,II,Levetzowstraße
DC152D79EDE440EAB65C5B9D4471454F,42550019_42550015.01,Levetzowstraße,Mitte,Moabit,II,Levetzowstraße
