AAA-Beschreibung,Beschreibung_schluessel,Bewuchs_bezeichnung,alias
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11653
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11664
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11665
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11666
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11674
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11676
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11678
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11683
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11685
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11695
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11698
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11699
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11718
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11720
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11723
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11724
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11726
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11747
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11758
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11760
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11762
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11763
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11770
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11776
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11777
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11780
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11784
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11788
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11791
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11815
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11819
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11821
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11823
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11828
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11830
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11831
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11832
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11839
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11841
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11843
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11850
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11855
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11859
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11865
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11866
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11871
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11881
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11882
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11886
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11887
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11889
AX_Vegetationsmerkmal,9998,Laubbaum,F7__11893
