StandortNr,Kennzeich,NameNr,Art_Dtsch,Art_Bot,Gattung,ALK_Nr4st,StrName,HausNr,Pflanzjahr,Standalter,KroneDurch,Stammumfg,BaumHoehe,BEZIRK,Eigentuemer,alias,Zusatz
28ggü/1,20183,Neues Ufer      ß,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,47,Neues Ufer,28,1925,91,17,225,15,Mitte,Land Berlin,F3__932181,ggü
11/1,20182,Ufnaustraße,BIRKEN-PAPPEL,POPULUS SIMONII,POPULUS,14,Ufnaustraße,11,1975,41,13,110,18,Mitte,Land Berlin,F3__932182,
69/1,20181,Huttenstraße,GROßBLÄTTRIGE LINDE - SOMMER-LINDE,TILIA PLATYPHYLLOS,TILIA,133,Huttenstraße,69,1950,66,11,130,17,Mitte,Land Berlin,F3__932183,
5/2,20181,Huttenstraße,WINTER-LINDE,TILIA CORDATA,TILIA,139,Huttenstraße,5,1999,17,1.5,20,5,Mitte,Land Berlin,F3__932184,
67/2,20181,Huttenstraße,WINTER-LINDE,TILIA CORDATA,TILIA,175,Huttenstraße,67,2001,15,0.59999999999999998,19,3.5,Mitte,Land Berlin,F3__932185,
79/1,20226,Beusselstraße II,SPITZ-AHORN,ACER PLATANOIDES,ACER,178,Beusselstraße,79,2007,9,2,30,5,Mitte,Land Berlin,F3__932186,133
12/1,20413,Erasmusstraße,BERG-AHORN -  WEISS-AHORN,ACER PSEUDOPLATANUS,ACER,12,Erasmusstraße,12,1970,46,8,85,9,Mitte,Land Berlin,F3__932187,012
4/9,20457,Lessingstraße -doppelt-,SPITZ-AHORN,ACER PLATANOIDES,ACER,12,Lessingstraße,4,1985,31,6,65,8.5,Mitte,Land Berlin,F3__932188,
4/15,20457,Lessingstraße -doppelt-,SPITZ-AHORN,ACER PLATANOIDES,ACER,159,Lessingstraße,4,2010,6,2,75,5,Mitte,Land Berlin,F3__932189,015
21/4,20467,Gotzkowskystraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,39,Gotzkowskystraße,21,1990,26,3,24,3.5,Mitte,Land Berlin,F3__932190,
21,20467,Gotzkowskystraße,SPITZ-AHORN,ACER PLATANOIDES,ACER,17,Gotzkowskystraße,21,1965,51,13,110,14,Mitte,Land Berlin,F3__932191,
4ggü/2,20457,Lessingstraße -doppelt-,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,QUERCUS,82,Lessingstraße,4,1982,34,5.5,40,5.5,Mitte,Land Berlin,F3__932192,ggü
5/33,20457,Lessingstraße -doppelt-,SÄULENFÖRMIGER SPITZ-AHORN,ACER PLATANOIDES COLUMNARE',ACER,145,Lessingstraße,5,2008,8,2,24,7,Mitte,Land Berlin,F3__932193,
5/32,20457,Lessingstraße -doppelt-,SÄULENFÖRMIGER SPITZ-AHORN,ACER PLATANOIDES COLUMNARE',ACER,144,Lessingstraße,5,2008,8,2,24,7,Mitte,Land Berlin,F3__932194,
4/6,20457,Lessingstraße -doppelt-,SPITZ-AHORN,ACER PLATANOIDES,ACER,156,Lessingstraße,4,2010,6,2,24,5,Mitte,Land Berlin,F3__932195,
11/1,20183,Neues Ufer      ß,ECHTE MEHLBEERE,SORBUS ARIA,SORBUS,13,Neues Ufer,11,1986,30,4.5,45,6,Mitte,Land Berlin,F3__932196,019
12/1,20183,Neues Ufer      ß,SPITZ-AHORN,ACER PLATANOIDES,ACER,14,Neues Ufer,12,1965,51,10,80,15,Mitte,Land Berlin,F3__932197,
13/5,20183,Neues Ufer      ß,SPITZ-AHORN,ACER PLATANOIDES,ACER,20,Neues Ufer,13,1980,36,10,70,9.5,Mitte,Land Berlin,F3__932198,026
31/2,20461,Klopstockstraße,SPITZ-AHORN SCHWEDLERI',ACER PLATANOIDES SCHWEDLERI',ACER,64,Klopstockstraße,31,1992,24,4.5,40,8,Mitte,Land Berlin,F3__932199,020
19-23/3,20461,Klopstockstraße,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,36,Klopstockstraße,19,1988,28,14,135,18,Mitte,Land Berlin,F3__932200,-23
25-27/2,20461,Klopstockstraße,WINTER-LINDE,TILIA CORDATA,TILIA,30,Klopstockstraße,25,1935,81,12,210,24,Mitte,Land Berlin,F3__932201,-27
16-24/1,20425,Kaiserin-Augusta-Allee,SPITZ-AHORN,ACER PLATANOIDES,ACER,25,Kaiserin-Augusta-Allee,16,1975,41,9,130,10,Mitte,Land Berlin,F3__932202,-24
113/2,20425,Kaiserin-Augusta-Allee,AHORNBLÄTTRIGE PLATANE,PLATANUS ACERIFOLIA,PLATANUS,59,Kaiserin-Augusta-Allee,113,1965,51,10,166,15,Mitte,Land Berlin,F3__932203,062
29/2,20461,Klopstockstraße,SILBER-AHORN,ACER SACCHARINUM,ACER,25,Klopstockstraße,29,1950,66,18,222,22,Mitte,Land Berlin,F3__932204,026
18/3,20461,Klopstockstraße,WINTER-LINDE,TILIA CORDATA,TILIA,12,Klopstockstraße,18,1935,81,11,161,20,Mitte,Land Berlin,F3__932205,012
