Bewuchs_schluessel,Bewuchs_bezeichnung,Beschreibung_schluessel,Beschreibung_bezeichnung,AAA-Beschreibung,alias,Funktion_schluessel,Funktion_bezeichnung,Name
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5880,,,
1021,Baumbestand Laubholz,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5882,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5884,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5886,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5887,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5888,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5890,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5891,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5892,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5893,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5896,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5897,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5900,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5902,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5906,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5908,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5909,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5911,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5912,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5913,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5915,,,
1021,Baumbestand Laubholz,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5917,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5919,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5921,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5922,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5927,,,
1021,Baumbestand Laubholz,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5929,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5930,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5933,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5934,,,
1600,Zierfläche,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5935,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5936,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5939,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5941,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5944,,,
1500,Gras,9998,Nach Quellenlage nicht zu spezifizieren,AX_Vegetationsmerkmal,F5__5949,,,
