KANART,KANART_KLAR,REGENWASSERKAN,GRUENUTZ,KAN_BEB,KAN_VGU,KAN_STR,FLALLE,STR_FLGES,alias,BAUNUTZ,EAG_NR,EAG,AGEB1_NR,AGEB1,BEREICH_NR,BEREICH
1,Mischkanalisation,1,,73,70,95,9827,5645,0200039081000100,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,86,78,95,2565,2250,0200039081000300,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,0,0,0,83175,8025,0200041561000100,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,2494,,0200041561000300,,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,Park / Grünfläche,88,77,88,97045,7405,0200041561000400,Gemeinbedarfs- und Sondernutzungen,100a,Spree 100a,390,Stadtspree bis Mündung,300,Spree-Dahme-Fließgebiet
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,Stadtplatz / Promenade,84,72,81,9303,4334,0200041771000000,,100a,Spree 100a,390,Stadtspree bis Mündung,300,Spree-Dahme-Fließgebiet
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,Park / Grünfläche,0,0,0,100380,19688,0200046101000100,,100a,Spree 100a,390,Stadtspree bis Mündung,300,Spree-Dahme-Fließgebiet
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,1092,,0200046101000200,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,2341,,0200046101000300,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,0,0,0,71120,3462,0200046111000100,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,10788,,0200046111000200,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,0,0,0,158454,19001,0200046111000300,,,,,,,
1,Mischkanalisation,1,,82,66,89,13956,6696,0300091881000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,98,75,94,24170,8878,0300091891000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,98,75,94,30640,10347,0300091901000000,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,0,0,0,28943,3416,0300101851000000,,,,,,,
1,Mischkanalisation,1,,73,61,89,336144,15052,0300101861000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,82,75,88,158988,17228,0700190131000200,Gemeinbedarfs- und Sondernutzungen,080,Hohenzollernkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,15252,135,0700190171000200,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,77436,8731,0700190171000300,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,76,70,89,17846,0,0700190171000400,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,23694,0,0700190171000500,,,,,,,
1,Mischkanalisation,1,,86,80,92,30902,3585,0700190261000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,86,80,92,22897,6298,0700190331000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche Mischbestand aus Wiesen, Gebüsch und Bäumen,71,67,81,3931,4437,0700195051000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Sportnutzungen,68,51,81,10892,958,0700196011000100,Gemeinbedarfs- und Sondernutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,405824,23539,0700196011000200,,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,Brachfläche vegetationsfrei,73,62,89,49641,26366,0700196041000000,Mischnutzungen,170,Westhafenkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,76,70,89,6705,2930,0700196061000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,080,Hohenzollernkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Brachfläche wiesenartiger Vegetationsbestand,76,70,89,44197,4493,0700196091000200,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,76,70,89,7203,2015,0700196531000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,38,30,77,50891,0,0700196801000200,Wohnnutzung,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,76,70,89,10426,1099,0700196801000300,Gewerbe- und Industrienutzung großflächiger Einzelhandel,080,Hohenzollernkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,9425,3032,0700196801000400,,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,76,70,89,49339,5101,0700196801000500,Gewerbe- und Industrienutzung großflächiger Einzelhandel,080,Hohenzollernkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,82,75,88,51831,11754,0700196801000600,Gemeinbedarfs- und Sondernutzungen,080,Hohenzollernkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,73613,2873,0700196801000700,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,231740,16435,0700196801000800,,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,76,70,89,96985,7844,0700196921000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,175,Charlottenburger Verbindungskanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,86898,13903,0700196941000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,86,78,95,18351,8222,0700197081000000,Verkehrsflächen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Kleingarten,59,54,81,103474,10634,0700197421000100,,,,,,,
1,Mischkanalisation,1,,82,78,89,26930,5237,0700197421000200,Ver- und Entsorgungseinrichtungen,,,,,,
1,Mischkanalisation,1,,82,78,89,33178,5338,0700197421000300,Ver- und Entsorgungseinrichtungen,,,,,,
1,Mischkanalisation,1,,86,80,92,18488,3304,0700197421000400,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
2,Trennkanalisation / Regenkanalisation und Schmutzkanalisation,1,,76,70,89,23528,8814,0700197631000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,080,Hohenzollernkanal,400,Kanäle nördlich der Spree,400,Kanäle nördlich der Spree
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,56336,,0700198531000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Gewässer,0,0,0,6364,,0700198541000000,,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,73,70,95,25946,5825,0700199011000000,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,95,70,94,21754,8821,0700200511000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,10778,5634,0700200521000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,10012,5434,0700200531000000,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,8615,5159,0700200541000000,,,,,,,
1,Mischkanalisation,1,,93,46,87,5572,4254,0700200571000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,93,46,87,5214,4199,0700200581000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,93,46,87,12211,6188,0700200591000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,93,46,87,13960,6535,0700206721000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,93,46,87,13491,6444,0700206731000000,Mischnutzungen,,,,,,
1,Mischkanalisation,1,,86,50,89,35369,7627,0700206911000000,Wohnnutzung,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,,73,70,95,36027,893,0700209021000100,Verkehrsflächen,,,,,,
1,Mischkanalisation,1,,76,70,89,15741,6401,0700210601000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,86,50,89,13468,4363,0700210611000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,82,78,89,69188,8176,0700210611000200,Ver- und Entsorgungseinrichtungen,,,,,,
1,Mischkanalisation,1,,76,70,89,44872,13979,0700210611000300,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,76,70,89,26256,8222,0700210621000000,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,82,66,89,12990,5572,0700210651000000,Gemeinbedarfs- und Sondernutzungen,,,,,,
1,Mischkanalisation,1,,95,70,94,12681,5937,0700210661000000,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,95,70,94,17315,4971,0700210681000100,Wohnnutzung,,,,,,
1,Mischkanalisation,1,,76,70,89,86911,10698,0700210681000200,Gewerbe- und Industrienutzung großflächiger Einzelhandel,,,,,,
1,Mischkanalisation,1,,82,66,89,37850,5084,0700210681000300,Gemeinbedarfs- und Sondernutzungen,,,,,,
0,ohne Kanalisation (unbebaut bzw. unbekannt),0,Park / Grünfläche,71,60,81,3461,5643,0700215011000000,,,,,,,
