SEGM_SEGM,STST_STR,STOR_NAME,ORTSTL,RVA_TYP,SORVT_TYP,HOTLINK,LAENGE,B_PFLICHT,alias,SEGM_BEZ
43570003_43570004.01,Friedrich-Krause-Ufer,Mitte,Moabit,Radwege,Geh-/Radweg baulich unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00321B/index.htm" TARGET="VMS">Fotos</a>,1101.3,nein,01-001060,
42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003248/index.htm" TARGET="VMS">Fotos</a>,593.5,ja,01-001077,
42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr mit Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00324A/index.htm" TARGET="VMS">Fotos</a>,327.1,ja,01-001078,
42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x00324F/index.htm" TARGET="VMS">Fotos</a>,279.8,ja,01-001079,
42560024_42560031.02,Ellen-Epstein-Straße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 ohne ruhenden Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003250/index.htm" TARGET="VMS">Fotos</a>,8.6,ja,01-001080,
42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003251/index.htm" TARGET="VMS">Fotos</a>,256.7,ja,01-001081,
42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr ohne Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003252/index.htm" TARGET="VMS">Fotos</a>,36.1,ja,01-001082,
42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,Schutzstreifen,Schutzstreifen Z 340 mit ruh.Verkehr mit Begrenzung,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003253/index.htm" TARGET="VMS">Fotos</a>,297.4,ja,01-001083,
42560031_43560019.02,Ellen-Epstein-Straße,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003254/index.htm" TARGET="VMS">Fotos</a>,555.8,ja,01-001084,
42570003_42570012.01,Föhrer Brücke,Mitte,Moabit,Radwege,Geh-/Radweg durch Markierung unterschieden,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003267/index.htm" TARGET="VMS">Fotos</a>,114.8,ja,01-001087,
42570002_42570001.01,An der Putlitzbrücke,Mitte,Moabit,Radwege,Radfahrerfurt Z 340,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003268/index.htm" TARGET="VMS">Fotos</a>,44.8,ja,01-001088,
42560035_42570002.01,An der Putlitzbrücke,Mitte,Moabit,Radfahrstreifen,Radfahrstreifen Z 295 ohne ruh.Verkehr,<A HREF=http://fbinter.stadt-berlin.de/fb_daten/fotos/radverkehrsanlagen/dokumente/00003000/0x003269/index.htm" TARGET="VMS">Fotos</a>,533.8,nein,01-001089,
