ID_ORIG,NAME,LAENGE,DTV,SLKW,LLKW,BUS,KRAD,N_BETROF,EM_NOX,EM_PM10,EM_PM25,GNO2_M,GPM10_M,GPM25_M,MB2_EMNOX,MB2_EM_PM1,MB2_EMPM25,MB2_GNO2,MB2_GPM10,MB2_GPM25,alias
6290,Sickingenstr.,238.88,12236,771,991,12,171,166,6.68,1.07,0.64,30.15,29.02,19.11,0,0,0,0,0,0,5625
6295,Saatwinkler Damm,126.49,15965,527,1245,399,160,3,9.78,1.46,0.88,21.4,25.13,16.75,0,0,0,0,0,0,5629
6297,Saatwinkler Damm,65.97,15965,527,1245,399,160,23,9.78,1.46,0.88,27.68,27.44,18.15,0,0,0,0,0,0,5631
6310,Bachstr.,84.14,14296,272,1129,172,200,47,6.55,1.06,0.64,26.52,27.21,18.03,0,0,0,0,0,0,5642
6311,Bachstr.,150.07,14296,272,1129,172,200,17,6.55,1.06,0.64,23.03,26.01,17.29,0,0,0,0,0,0,5643
6312,Bachstr.,40.85,14296,272,1129,172,200,8,6.55,1.06,0.64,23.14,25.6,17.1,0,0,0,0,0,0,5644
6313,Bachstr.,33.65,14296,272,1129,172,200,2,6.55,1.06,0.64,30.77,28.36,18.76,0,0,0,0,0,0,5645
6314,Bachstr.,110.77,14296,272,1129,172,200,6,6.55,1.06,0.64,35.53,30.27,19.9,0,0,0,0,0,0,5646
6315,Bachstr.,66.68,14296,272,1129,172,200,4,6.55,1.06,0.64,32.69,29.37,19.33,0,0,0,0,0,0,5647
6316,Bachstr.,49.95,14296,272,1129,172,200,4,6.55,1.06,0.64,28.95,28.11,18.57,0,0,0,0,0,0,5648
6322,Str. des 17. Juni,141.95,39107,899,3089,430,547,5,18.22,2.91,1.75,23.65,25.79,17.21,0,0,0,0,0,0,5654
6323,Str. des 17. Juni,753.4,39107,899,3089,430,547,1,18.22,2.91,1.75,20.64,24.91,16.67,0,0,0,0,0,0,5655
6325,Stromstr.,216.82,21832,371,1616,175,306,179,7.99,1.09,0.67,30.22,28.13,18.64,0,0,0,0,0,0,5657
6327,Lessingstr.,25,21832,371,1616,175,306,6,7.99,1.09,0.67,20.13,24.99,16.7,0,0,0,0,0,0,5658
6328,Lessingstr.,162.1,21832,371,1616,175,306,94,7.99,1.09,0.67,22.04,25.51,17.03,0,0,0,0,0,0,5659
6329,Turmstr.,145.9,13243,265,1046,874,185,114,9.78,1.26,0.76,32.64,28.9,19.02,0,0,0,0,0,0,5660
6330,Turmstr.,89.1,13243,265,1046,874,185,33,9.78,1.26,0.76,25.35,26.69,17.7,0,0,0,0,0,0,5661
6331,Alt-Moabit,187.71,21647,498,1710,346,303,89,10.62,1.64,0.99,24.86,26.75,17.74,0,0,0,0,0,0,5662
6336,Siemensstr.,147.13,8162,359,661,73,114,76,3.66,0.48,0.29,21.52,25.95,17.16,0,0,0,0,0,0,5667
7657,Hofjägerallee,472.83,41247,784,3259,742,577,0,20.24,3.15,1.9,20.78,24.92,16.69,0,0,0,0,0,0,6885
7658,Altonaer Str.,148.65,22198,466,1754,311,311,40,10.52,1.64,0.99,22.8,25.83,17.2,0,0,0,0,0,0,6886
7659,Altonaer Str.,283.87,22198,466,1754,311,311,9,10.52,1.64,0.99,21.78,25.26,16.89,0,0,0,0,0,0,6887
7664,Turmstr.,157.73,5119,113,379,363,72,107,2.87,0.26,0.16,23.19,25.55,17.05,0,0,0,0,0,0,6892
7666,Turmstr.,288.58,5119,113,379,363,72,88,2.87,0.26,0.16,23.41,25.86,17.21,0,0,0,0,0,0,6894
7667,Turmstr.,33.46,5119,113,379,363,72,5,2.87,0.26,0.16,20.88,25.14,16.79,0,0,0,0,0,0,6895
7670,Perleberger Str.,69.08,6955,132,549,369,97,10,4.23,0.52,0.31,20.09,25.14,16.77,0,0,0,0,0,0,6898
7671,Perleberger Str.,117.38,6955,132,549,369,97,75,4.23,0.52,0.31,23.72,26.25,17.43,0,0,0,0,0,0,6899
7672,Perleberger Str.,142.42,6955,132,549,369,97,111,4.23,0.52,0.31,24.59,26.39,17.52,0,0,0,0,0,0,6900
7678,Perleberger Str.,68.16,6946,132,549,368,97,13,4.22,0.52,0.31,20.13,25.12,16.76,0,0,0,0,0,0,6906
7679,Perleberger Str.,215.69,6946,132,549,368,97,185,4.22,0.52,0.31,25.87,26.69,17.71,0,0,0,0,0,0,6907
7680,An der Putlitzbrücke,236.24,30664,889,2422,92,429,10,13.64,2.34,1.4,22.32,26.91,17.57,0,0,0,0,0,0,6908
7681,An der Putlitzbrücke,119.88,30664,889,2422,92,429,88,13.64,2.34,1.4,30.51,30.77,19.72,0,0,0,0,0,0,6909
7693,Föhrer Str.,166.1,38250,918,3022,38,536,73,18.06,3.21,1.93,26.54,28.64,18.7,0,0,0,0,0,0,6919
7694,Föhrer Str.,94.6,38250,918,3022,38,536,67,18.06,3.21,1.93,33.84,31.45,20.48,0,0,0,0,0,0,6920
880,Otto-Suhr-Allee,161.43,27686,637,2187,692,388,132,14.95,2.23,1.34,28.37,27.47,18.21,0,0,0,0,0,0,763
895,Mierendorffplatz,77.06,11319,294,894,317,158,25,6.14,0.87,0.52,21.22,24.95,16.7,0,0,0,0,0,0,777
896,Lise-Meitner-Str.,48.92,9623,346,779,38,135,0,4.51,0.73,0.44,20.84,24.7,16.56,0,0,0,0,0,0,778
900,Olbersstr.,69.25,3022,151,224,511,42,36,3.86,0.4,0.23,20.97,24.67,16.54,0,0,0,0,0,0,782
904,Kaiserin-Augusta-Allee,218.22,14307,501,1130,315,200,222,7.95,1.18,0.71,31.01,28.32,18.73,0,0,0,0,0,0,785
