ELEM_NR,STRSCHL,STR_NAME,STRKLASSE1,STRKLASSE,STRKLASSE2,VRICHT,BEZIRK,STADTTEIL,EBENE,VON_VP,BIS_VP,LAENGE,GILT_VON,OKSTRA_ID,alias,STR_BEZ
41550010_41550008.02,01176,Erasmusstraße,V,G,STRA,B,Mitte,Moabit,0,41550010,41550008,264.15,20141204,1B11C4FF59FE40DCB79FD29E9D35D28D,Erasmusstraße,
41550020_41550005.02,05026,Zinzendorfstraße,V,G,STRA,B,Mitte,Moabit,0,41550020,41550005,219.65,20141204,CFB1EC86967C439986BF429C961384CE,Zinzendorfstraße,
41550017_41550006.02,02219,Jagowstraße,V,G,STRA,B,Mitte,Moabit,0,41550017,41550006,357.28,20141204,A943A499D6924E9598C0621869F547D4,Jagowstraße,
42550019_42550018.02,01120,Elberfelder Straße,V,G,STRA,B,Mitte,Moabit,0,42550019,42550018,159.18,20141204,5EBA2674B768437C898337634272E4AF,Elberfelder Straße,
42550018_42550012.02,01006,Dortmunder Straße,V,G,STRA,B,Mitte,Moabit,0,42550018,42550012,205.36,20141204,E52CDDABA1EE4756A123EBAF84CF1861,Dortmunder Straße,
42550018_42550020.02,01120,Elberfelder Straße,V,G,STRA,B,Mitte,Moabit,0,42550018,42550020,164.93,20141204,E588E11731C54A22B630A46EAEDB8CAC,Elberfelder Straße,
42550020_42550010.02,01207,Essener Straße,V,G,STRA,B,Mitte,Moabit,0,42550020,42550010,139.29,20141204,4F42A324EDE5498D85BF234B14F30052,Essener Straße,
42550020_42550004.02,01120,Elberfelder Straße,V,G,STRA,B,Mitte,Moabit,0,42550020,42550004,177.14,20141204,E3E26122C4494C2194E2A7566DF0734F,Elberfelder Straße,
42550015_42550012.02,00807,Bundesratufer,V,G,STRA,B,Mitte,Moabit,0,42550015,42550012,160.42,20141204,B826C2BE36BF4F318AE588CFF5287539,Bundesratufer,
42550011_42550012.02,00625,Bochumer Straße,V,G,STRA,B,Mitte,Moabit,0,42550011,42550012,98.06,20141204,FA16FCCC9CBB42EEBB5E3D33DDBEFF93,Bochumer Straße,
